student id,student name,gpa,image,address,notes
21127023,Mai Quý Đạt,5.95,,"17/183 Dang Tien Dong Street, Trung Liet Ward","good, excellent"
21127033,Trần Thành Duy,6.69,,"14 Alley 28/2, Ong ich Khiem",well
21127044,Mai Bùi Thế Hiển,3.69,,249 lo 955B,bad in time management
21127046,Đặng Nhật Hòa,2.8,,"Thanh Ha Ward, Hoi An Township",
21127054,Huỳnh Thiện Hữu,1.07,,51 Duong Lang Street,
21127068,Ngô Hoàng Khang,1.83,,"92 - 94 Nguyen Thi Tan, P2.",
21127077,Huỳnh Đăng Khoa,3.37,,107 Nguyen Van Cu Street,
21127078,Nguyễn Duy Đăng Khoa,0.87,,"ET4 Nguyen Hong Dao, Ward 13",
21127082,Trần Tuấn Khôi,4.14,,"127, Group 15, Song Hien Ward",
21127084,Lê Xuân Kiên,1.05,,"4K2 Phan Dinh Phung Street, Ward 17",
21127101,Võ Tấn Lộc,4.54,,"106/9 Nguyen Hong, Ward 11",
21127108,Đặng Hà Nhật Minh,3.32,,405 Kim Nguu Street,
21127112,Triệu Nhật Minh,6.49,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127113,Đinh Dương Hải Nam,7.01,,306 Nguyen Trai,
21127115,Trần Thanh Ngân,3.4,,"165/35 Street 3/2, Ward 11, District 10",
21127116,Nguyễn Lê Thanh Nghĩa,0.74,,Urban My Dinh 2,
21127118,Lâm Thanh Ngọc,5.15,,"92 - 94 Nguyen Thi Tan, P2.",
21127122,Hồ Thanh Nhân,9.71,,107 Nguyen Van Cu Street,
21127126,Bùi Minh Nhật,1.56,,"ET4 Nguyen Hong Dao, Ward 13",
21127141,Bùi Đỗ Duy Quân,6.31,,"127, Group 15, Song Hien Ward",
21127148,Đặng Văn Quang,1.26,,"4K2 Phan Dinh Phung Street, Ward 17",
21127151,Nguyễn Nhật Quang,4.44,,"106/9 Nguyen Hong, Ward 11",
21127153,Nguyễn Huỳnh Phú Quí,6.82,,405 Kim Nguu Street,
21127158,Lê Hoàng Sang,8.31,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127173,Nguyễn Thiên Thọ,5.44,,"80/46 Tran Quang Dieu, Ward 14, Dist.3",
21127176,Lê Thị Hoài Thư,4.9,,534 Minh Khai street,
